player,team,league,season,goals
Betim Fazliji,St. Gallen,Super League,2025,1
Leonidas Stergiou,St. Gallen,Super League,2025,1
Jeremy Guillemenot,St. Gallen,Super League,2025,7
Alain Wiss,St. Gallen,Super League,2025,1
Lawrence Ati-Zigi,St. Gallen,Super League,2025,0
Matej Maglica,St. Gallen,Super League,2025,1
Basil Stillhart,St. Gallen,Super League,2025,2
Patrick Sutter,St. Gallen,Super League,2025,1
Itaitinga,Sion,Super League,2025,6
Gaetan Karlen,Sion,Super League,2025,7
Balthazar Pierret,Sion,Super League,2025,2
Anto Grgic,Sion,Super League,2025,8
Dennis Iapichino,Sion,Super League,2025,1
Heinz Lindner,Sion,Super League,2025,0
Musa Araz,Sion,Super League,2025,2
Matteo Tosetti,Sion,Super League,2025,2
Bruno Morgado,Sion,Super League,2025,1
Adrian Zesiger,Sion,Super League,2025,0
Patrick Pflucke,Servette,Super League,2025,5
Boubacar Fofana,Servette,Super League,2025,6
Enzo Crivelli,Servette,Super League,2025,7
Alexis Antunes,Servette,Super League,2025,3
Keigo Tsunemoto,Servette,Super League,2025,1
Jeremy Frick,Servette,Super League,2025,0
Theo Valls,Servette,Super League,2025,2
Valton Behrami,Servette,Super League,2025,1
Ronny Rodelin,Servette,Super League,2025,2
Steve Rouiller,Servette,Super League,2025,1
Petar Pusic,Grasshoppers,Super League,2025,6
Francis Momoh,Grasshoppers,Super League,2025,7
Hayao Kawabe,Grasshoppers,Super League,2025,5
Leonardo Campana,Grasshoppers,Super League,2025,6
Nico Maier,Grasshoppers,Super League,2025,2
Toti Gomes,Grasshoppers,Super League,2025,1
Gabriel Barbos,Grasshoppers,Super League,2025,0
Justin Hammel,Grasshoppers,Super League,2025,0
Noah Loosli,Grasshoppers,Super League,2025,1
Amir Abrashi,Grasshoppers,Super League,2025,1
Matteo Di Giusto,Winterthur,Super League,2025,6
Nicolas Schindelholz,Winterthur,Super League,2025,1
Randy Schneider,Winterthur,Super League,2025,2
Adrian Gantenbein,Winterthur,Super League,2025,1
Roman Buess,Winterthur,Super League,2025,5
Remo Arnold,Winterthur,Super League,2025,1
Sayfallah Ltaief,Winterthur,Super League,2025,3
Samuel Leoni,Winterthur,Super League,2025,2
Josip Lusic,Winterthur,Super League,2025,1
Dennis Salanovic,Winterthur,Super League,2025,2
Kwadwo Duah,Yverdon,Super League,2025,7
Alexandre Martin,Yverdon,Super League,2025,3
Kevin Carlos,Yverdon,Super League,2025,4
Nehemie Lusuena,Yverdon,Super League,2025,2
Miguel Rodrigues,Yverdon,Super League,2025,5
Anthony Barbosa,Yverdon,Super League,2025,1
Numa Lavanchy,Yverdon,Super League,2025,1
Theo Bouchlarhem,Yverdon,Super League,2025,2
Florent Hanin,Yverdon,Super League,2025,0
Kevin Mbarga,Yverdon,Super League,2025,0
Lauri Jaakola,Thun,Super League,2025,5
Alexander Gerndt,Thun,Super League,2025,6
Roy Gelmi,Thun,Super League,2025,1
Matteo Tosetti,Thun,Super League,2025,2
Nicolas Hasler,Thun,Super League,2025,1
Nias Hefti,Thun,Super League,2025,1
Jan Elvedi,Thun,Super League,2025,1
Miguel Castroman,Thun,Super League,2025,4
Luka De Rigo,Thun,Super League,2025,2
Leonardo Bertone,Thun,Super League,2025,3
Arthur Cabral,Basel,Super League,2024,22
Aiyegun Tosin,Zurich,Super League,2024,20
Meschack Elia,Young Boys,Super League,2024,18
Zan Celar,Lugano,Super League,2024,16
Filip Ugrinic,Luzern,Super League,2024,12
Jordan Siebatcheu,Young Boys,Super League,2024,15
Renato Steffen,Lugano,Super League,2024,12
Miha Blazic,Servette,Super League,2024,3
Jonathan Okita,Zurich,Super League,2024,9
Cedric Itten,Young Boys,Super League,2024,11
